product_id,title,model,description,category_id,sub_category_id,units,weight,dimensions,image_link,rating,stock,price,discount,sku,seller_id,created_at,updated_at,SKU,category_name,is_draft,location,seller_name,sub_category_name,isActive,__v,text
22,Gel Pens - Pack of 10,GP-1050,Smooth writing gel pens with assorted colors,2,3.0,pack,0.4,"{'width': '50mm', 'height': '20mm', 'length': '150mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,200,150.0,3.0,SKU-OS-GP1051,3.0,2025-01-21 13:32:39.470287,2025-01-21 13:32:39.470287,,,,,,,,,Gel Pens - Pack of 10 Smooth writing gel pens with assorted colors SKU-OS-GP1051 2 3.0
23,Highlighter Set - Pack of 5,HS-1051,Vibrant highlighters with quick-dry ink,2,3.0,pack,0.5,"{'width': '60mm', 'height': '15mm', 'length': '120mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,180,200.0,5.0,SKU-OS-HS1052,3.0,2025-01-21 13:32:39.470287,2025-01-21 13:32:39.470287,,,,,,,,,Highlighter Set - Pack of 5 Vibrant highlighters with quick-dry ink SKU-OS-HS1052 2 3.0
24,Ball Bearings - 6205,BB-6205,Precision-engineered ball bearings for industrial applications,3,4.0,piece,0.3,"{'diameter': '52mm', 'thickness': '15mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,100,300.0,5.0,SKU-IS-BB6206,4.0,2025-01-21 13:32:39.767029,2025-01-21 13:32:39.767029,,,,,,,,,Ball Bearings - 6205 Precision-engineered ball bearings for industrial applications SKU-IS-BB6206 3 4.0
25,Tapered Roller Bearings,TRB-3050,Heavy-duty tapered roller bearings,3,4.0,piece,0.7,"{'diameter': '80mm', 'thickness': '20mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,80,450.0,7.0,SKU-IS-TRB3051,4.0,2025-01-21 13:32:39.767029,2025-01-21 13:32:39.767029,,,,,,,,,Tapered Roller Bearings Heavy-duty tapered roller bearings SKU-IS-TRB3051 3 4.0
26,Nitrile Safety Gloves,NSG-2025,Chemical-resistant nitrile gloves for industrial use,3,5.0,pair,0.15,"{'width': '100mm', 'length': '280mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,120,200.0,4.0,SKU-SS-NSG2027,5.0,2025-01-21 13:32:40.05974,2025-03-29 05:35:07.310000,,,,,,,True,,Nitrile Safety Gloves Chemical-resistant nitrile gloves for industrial use SKU-SS-NSG2027 3 5.0
27,Cut-Resistant Gloves,CRG-2026,Level 5 cut-resistant gloves for maximum safety,3,5.0,pair,0.2,"{'width': '110mm', 'length': '300mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,100,350.0,6.0,SKU-SS-CRG2027,5.0,2025-01-21 13:32:40.05974,2025-01-21 13:32:40.05974,,,,,,,,,Cut-Resistant Gloves Level 5 cut-resistant gloves for maximum safety SKU-SS-CRG2027 3 5.0
28,Open End Wrench,OEW-3050,Durable open-end wrench in various sizes,1,1.0,piece,1.1,"{'width': '40mm', 'height': '15mm', 'length': '250mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,60,400.0,6.0,SKU-HT-OEW3053,1.0,2025-01-21 13:39:19.097166,2025-01-21 13:39:19.097166,,,,,,,,,Open End Wrench Durable open-end wrench in various sizes SKU-HT-OEW3053 1 1.0
29,Combination Wrench Set,CWS-3051,12-piece combination wrench set with polished finish,1,1.0,set,2.1,"{'width': '150mm', 'height': '70mm', 'length': '350mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,50,1100.0,8.0,SKU-HT-CWS3054,1.0,2025-01-21 13:39:19.097166,2025-01-21 13:39:19.097166,,,,,,,,,Combination Wrench Set 12-piece combination wrench set with polished finish SKU-HT-CWS3054 1 1.0
30,Pipe Wrench,PW-3052,Adjustable pipe wrench with sturdy grip,1,1.0,piece,2.3,"{'width': '70mm', 'height': '20mm', 'length': '450mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,40,750.0,7.0,SKU-HT-PW3055,1.0,2025-01-21 13:39:19.097166,2025-01-21 13:39:19.097166,,,,,,,,,Pipe Wrench Adjustable pipe wrench with sturdy grip SKU-HT-PW3055 1 1.0
31,Electric Drill,ED-4060,Powerful electric drill with 500W motor,1,2.0,piece,1.8,"{'width': '80mm', 'height': '180mm', 'length': '300mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,30,2200.0,6.0,SKU-PT-ED4061,2.0,2025-01-21 13:39:19.391441,2025-03-25 19:24:34.219000,,,,,,,False,,Electric Drill Powerful electric drill with 500W motor SKU-PT-ED4061 1 2.0
32,Rotary Hammer Drill,RHD-4061,Heavy-duty rotary hammer drill for masonry,1,2.0,piece,3.2,"{'width': '100mm', 'height': '200mm', 'length': '400mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,20,5800.0,10.0,SKU-PT-RHD4062,2.0,2025-01-21 13:39:19.391441,2025-01-21 13:39:19.391441,,,,,,,,,Rotary Hammer Drill Heavy-duty rotary hammer drill for masonry SKU-PT-RHD4062 1 2.0
33,Cordless Drill Driver,CDD-4062,Compact cordless drill driver with LED light,1,2.0,piece,2.0,"{'width': '90mm', 'height': '190mm', 'length': '320mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,25,3500.0,9.0,SKU-PT-CDD4063,2.0,2025-01-21 13:39:19.391441,2025-01-21 13:39:19.391441,,,,,,,,,Cordless Drill Driver Compact cordless drill driver with LED light SKU-PT-CDD4063 1 2.0
34,Notebook - A4,NB-2050,100-page A4 size notebook with ruled sheets,2,3.0,piece,0.6,"{'width': '210mm', 'height': '10mm', 'length': '297mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,300,50.0,2.0,SKU-OS-NB2051,3.0,2025-01-21 13:39:19.70165,2025-01-21 13:39:19.70165,,,,,,,,,Notebook - A4 100-page A4 size notebook with ruled sheets SKU-OS-NB2051 2 3.0
41,Leather Work Gloves,LWG-3031,Durable leather gloves for heavy work,2,1.0,pair,0.5,"{'length': 0.1, 'width': 0.1, 'height': 0.2}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,100,300.0,5.0,SKU-SS-LWG3032,5.0,2025-01-21 13:39:20.414644,2025-03-26 12:49:04.804000,Abc1231,Vegetables,False,ROSERA,XYZ,Potato,True,,Leather Work Gloves Durable leather gloves for heavy work SKU-SS-LWG3032 2 1.0
42,TrialSoap,Soapy12,Product is Soap,5,,kgs,0.01,"{'length': 3, 'width': 2, 'height': 1}","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAJQAlAMBEQACEQEDEQH/xAAbAAEAAgMBAQAAAAAAAAAAAAAABAYBAwUCB//EADcQAAEDAgQDBgUDAwUBAAAAAAEAAgMEEQUhMUESIlEGE1JhcYEyQrHB0VORoSNy4WJzorLxFv/EABoBAQADAQEBAAAAAAAAAAAAAAACAwQBBQb/xAAvEQEAAgEEAAUCBAYDAAAAAAAAAQIDBBEhMQUSIkFRMqFxgZGxE0JSYeHwFSTR/9oADAMBAAIRAxEAPwD7igICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAggVWLUdK4slmBeNWsFyFGb1hfj02XJG8Qif/SUV/gn9eAflQ/i1X/8AH5v7JlJilJVu4YZhx+Bwsf5U4vWemfJp8uPm0JykpEBAQEBAQEBAQEBAQEESur6eiZxTyWOzRm4+gXJtEdrcWG+WdqwrWI45UVRMcN4Yj4TzH1O3sqLZJnp62DQ0x825lw5KmNhsTc72zVMy9CuO0vArIzq1wTzJTilvY9rgHsdfzC6rtG3Eu1h2PzU9mVV5oxv8w/KtrlmO3n59BS/NOJ+yzUdbT1kfHTyBw3G49Qr4mJ6eVkxXxTteNkhdViAgICAgICAgINU80cEZklkaxg1JKddu1ra07VjlXsR7RucDHQtsP1Xj6D8qi2X4epg8P98n6K7U1XM587y6Q6km5Kpmfl6mPF7VjhEBnq393C0kbgfcqPM9LvRjje0p0eFRRMD6uQk+Fpt/kqcY4jtntqr2nbHDTKzD+Lu2NLXf7uf3XJ8vSyts+28z9ml9LNFeWEl7B8VhmPULnln2TjLW3pt29Q1jXZSZHqNEixbHPslwyvge2SF7mvGYc02UomY5hRekWjy2jhYcO7R6R17bbd60fUK6uX5eXn8PmOcX6LBFKyZgfG9rmHQg5FXdvNmJrO0vaOCAgICAgwSALlBxcSx+CC7KUd9Lpe/KPfdV2yRHTdg0N7834hWa6ulqHd7Vy3t8I2HoFntaZ7evhwVxxtSHOfUySuEcDXZ6W1Khvv01Rjisb2S6XCS6z6p1h4Acz6lTrj+VGTVe1E1lTTQWjhbybcOn+VLeI4Z5x3t6p7aK2N87xLSStLwLGJ+Vx+Vy0b8wtxTFI8t44+UJj4i4xTQtZNfNr2C9/IqHHuvmLfVE7w6OFBze8dJI0vfbkHygX/KspDLn9oiOIZq8NhqOZo7uTxN0PqEtSJcx6i9OO4cswVFHM1j2nu3OABGYKr2mG2L0yV3jtKXVTq9m6qSLEWQB39Oa4LfO17/wrcdvVsw6/FFsU294XEaLQ8QQEBAQc7EsWp6EFrncctso2Zn36KNrxDRh0uTL118qxiWL1NYHd64RwfptOXv1We15l6+DSY8XXMuNNVgDhiF/O30CrmW+uL3ltpsMnqXB8zjG3qRzH22XYpM9oX1NKcV5Tw6koGEMAB+Y3+6nvFWaYyZZ3lmPEopDYAOB2Dhdc88E6e0cudNGyB3dk8VK88hPyHwn7FRmIiWmlptz/NH3ZbDMCIaZpedeKR2TU2n2JvT6r/Zl1NWVLmwzUwaBq8uuAPJPLM9ufxMdI81bOjRYfFSOc9rnvecuN526KytYqy5M9skRE8N01RHFkc3eELszEI1xzZCmnklyJs3whQm27RWkVRpZmRfEc/Duo7ra1m3TbgE7pu0FDs3jdYD+xy7jn1wr1tIrpr/l+8PooWx8wICDy97WNc55s1ouSdghEbzsqmJY/NOTHSExRacfzO/Cz2yTPT2cGgrXnJzLhzyd2x0huTqqpl6NK7ztCPDS1NdzZtZ4jkB6KMVtZZfLjxce7qRUtNQNDyOOTqcz7DZW+WKslsmTNx7NtJXR1Uro2ZlovlpZdrbeUMmGccRMua18TqjgqowXscbsfuevmq9435atrRXekpEtPh8rOWPunjQxtsR9lKYrsrrfPWe9/wAWuj4J5DTPtMOD+odv/brldpnZ3L5qV88cJFFhxppu8dO+QNBDAdh5qVabTury54yV222TZZWRjmdboN1KZ2URWbdIU1W6S4YOBp6aqE2aK4ojtFe9rBxPIAUV0Rv0iTVTjyx3aOqjMrq4/lF3uorXX7KML8epj4OJ3/Ej7qzFHrhh8Rttprfl+76Mtr5gQEHM7Ry9zg1U/wD0W/cgKGSdqy06Ovm1FYUpj2vbxMN76+SyvoZiY7ZsDqAfUI4nwVbXWa/kOlxorIszXxTHMctOJR1LnMlp42ytAsWXsfULlomek8FqRvFuJQQ2sYzhbTMgafG4AfsFCIn4aN8UzvM7ga2R0UNU1jnveBZmtuq53xJv5Ym1OoTBgtLxZvn4b/CXi30Vn8OqidXk29v0TIooKWK0bWxs381KIiqi1rZJ55aJqzURadSFGbfC2mH5RHONy57s+pUPxXxHtCLNVgZRC58R0UZstri+URznPN3Ekri6IiOnlcdEFn7D0b3VM1YWnu2N7tptq46/tb+VowV58zx/F8sRWuOO+12Wl4QgIOJ2xJGAVFvFH/3Cry/RLf4bH/ar+f7Pn7HOYQWmx+qx7vpZiJ7S4qxpyl5T1GilEqLY5jpJBBAIzH1XVbdDO+LQ3b0KlFtkLY4s21Agr4msfI6NzTcEGxBXZ2tCunnxTvEbvdLSUtJcx/EdXuIJXYrEdI5MuTJ2zLWNblHzH+EmxXFM8yhySPkN3kk7KEzMr4rFekaapZHcDmd0CjMra45shyyvkPOctgNFGZ3X1pFenhcSYQbKeCWpmENPG6SQ6NaLrsRMztCF71x18152ha8I7JAES4m4OOohYch6ndaKYf6njanxWZ9OL9VqghjgjEcTGsY0WDWiwC0bRHTx7Wm07zPLYjggIOP2sj7zAaoD5Q137OBVeX6JbfDreXU1/wB9nzpYn1DKD3FM+L4Tl0Oi7ujNIlNhqGSm3wu6FSiVFqTDcuoCDxJKyMc59t1zdKKzKFLVPkybdrfLVRmV1ccQ0LixlBjoBmTkB1Q/usOE9laqq4ZK29PF4bc7h9lfTDM/U8vU+J0x8Y/VP2/yuOH4fS4fF3dLC1gOp1J9TutMVivTw8ua+a3mvO6XZdVCAgICDxNEyaJ8cgDmPaWuadwU23diZid4UbF+y1TScUlETUQ68PztH39lkthmOn0Gm8Tpk4ycT9v8K/bMjcGx8iqXp7sI6ahBsbNIwWa8++a7vKM1iWTUTHV5TeXPJX4a98zf1XEmEdEHTwrA6zE7Ojb3cH6rxl7DdWUxzZj1GuxYOJ5n4XTCcCo8NHFG3jn3mfmfbotVMdavB1Gsy6judo+HWGimyCAgICAgICDFh0QcrF8Bo8Tu57DHNbKVmR9+qhfHWzXptblwdcx8KZiuBVuGEvkZ3kO0rNPcbLLfHar3tNrcWfiOJ+HLGeirbBAQEEmhoKrEJe7pInPI1OzfUqVazbpTmz48Nd7yuGE9lael4Za21RLrw25G+2/utNMMRzLwtT4lkyenHxH3WMNAGQCueaygICAgICAgICAgIMOaHCx0QVzGOytNVEy0JFPN4bcjvbb2VN8MT09PT+J5MfGT1R91ZqMAxSBxa6ke8eKPmBVE47R7PXpr9NePq2/HhriwbE5DYUM4/vbw/VcjHafZK2s09e7w7uE9kCSJMTksBpFGdfU/j91dTD/U83UeK/y4Y/Of/Fsp6aGmibFTxtjY3RrRYK+IiOnj3va8+a07y2rqIgICAgICAgICAgICAgWQYsOiDKAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgICAgIP/Z",,250,100.0,0.0,,,2025-03-27 11:21:25.836000,2025-03-29 14:14:21.378000,SKUS-123-SOAP,Soap,False,NOIDA,Godly Soaps,,True,0.0,TrialSoap Product is Soap  5 nan
